Readers,Writers,Time(ms)
0,100,151.88
1,99,132.92
2,98,138.28
3,97,146.24
4,96,149.02
5,95,147.06
6,94,139.12
7,93,144.60
8,92,141.60
9,91,131.14
10,90,138.56
11,89,139.10
12,88,138.56
13,87,136.18
14,86,133.06
15,85,132.10
16,84,132.38
17,83,130.80
18,82,124.68
19,81,124.72
20,80,125.88
21,79,125.18
22,78,125.62
23,77,124.24
24,76,118.70
25,75,118.46
26,74,118.66
27,73,117.00
28,72,129.50
29,71,113.98
30,70,114.56
31,69,109.60
32,68,112.52
33,67,110.44
34,66,111.08
35,65,106.22
36,64,106.10
37,63,102.90
38,62,103.20
39,61,103.36
40,60,96.80
41,59,91.78
42,58,96.36
43,57,96.52
44,56,96.68
45,55,94.62
46,54,93.38
47,53,88.14
48,52,88.30
49,51,89.04
50,50,89.02
51,49,86.92
52,48,84.56
53,47,83.20
54,46,80.70
55,45,78.60
56,44,79.50
57,43,70.88
58,42,64.42
59,41,65.28
60,40,64.10
61,39,61.36
62,38,60.16
63,37,60.38
64,36,58.90
65,35,56.66
66,34,55.78
67,33,55.40
68,32,52.88
69,31,51.62
70,30,50.62
71,29,49.30
72,28,51.00
73,27,47.34
74,26,45.04
75,25,44.22
76,24,43.54
77,23,42.66
78,22,39.12
79,21,39.54
80,20,37.62
81,19,38.24
82,18,35.16
83,17,35.76
84,16,34.20
85,15,29.92
86,14,30.28
87,13,29.04
88,12,26.96
89,11,25.52
90,10,24.84
91,9,26.28
92,8,26.42
93,7,26.28
94,6,24.30
95,5,17.58
96,4,15.10
97,3,15.70
98,2,12.24
99,1,10.38
100,0,9.02
